Pixel;Row;Round Correction Value Signed;Round Correction Value Unsigned;Ceil Correction Value;Floor Correction Value;Float Correction Value
1935;2;7;7;0;-1;-0.0793325486911094
1934;1;7;7;1;0;0.08034684380096202
1933;3;7;7;0;-1;-0.20340348403987818
1932;0;7;7;1;0;0.20594049558005878
1931;2;7;7;0;-1;-0.08339125774518763
1930;1;7;7;1;0;0.0844065722514884
1929;3;7;7;0;-1;-0.21355535461755792
1928;0;7;7;1;0;0.21609491656984758
1927;2;7;7;0;-1;-0.08745404669042856
1926;1;7;7;1;0;0.08847038213073333
1925;3;7;7;0;-1;-0.2237174326128688
1924;0;7;7;1;0;0.22625954882501986
1923;2;7;7;0;-1;-0.09152092168170078
1922;1;7;7;1;0;0.09253827959666339
1921;3;7;7;0;-1;-0.23388973342845176
1920;0;7;7;1;0;0.23643440775596503
1919;2;7;7;0;-1;-0.09559188888625947
1918;1;7;7;1;0;0.09661027081963347
1917;3;7;7;0;-1;-0.24407227249795937
1916;0;7;7;1;0;0.24661950880410188
1915;2;7;7;0;-1;-0.09966695448378005
1914;1;7;7;1;0;0.10068636198242409
1913;3;7;7;0;-1;-0.2542650652861269
1912;0;7;7;1;0;0.25681486744194615
1911;2;7;7;0;-1;-0.10374612466638133
1910;1;7;7;1;0;0.10476655928027867
1909;3;7;7;0;-1;-0.2644681272888434
1908;0;7;7;1;0;0.26702049917319925
1907;2;7;7;0;-1;-0.10782940563866816
1906;1;7;7;1;0;0.10885086892092133
1905;3;7;7;0;-1;-0.2746814740332546
1904;0;7;7;1;0;0.27723641953281586
1903;2;7;7;0;-1;-0.11191680361775447
1902;1;7;7;1;0;0.11293929712459949
1901;3;7;7;0;-1;-0.28490512107781285
1900;0;7;7;1;0;0.2874626440870962
1899;2;7;7;0;-1;-0.11600832483329704
1898;1;7;7;1;0;0.1170318501241141
1897;3;7;7;0;-1;-0.29513908401236577
1896;0;7;7;1;0;0.297699188433743
1895;2;7;7;0;-1;-0.12010397552752927
1894;1;7;7;1;0;0.1211285341648427
1893;3;7;7;0;-1;-0.30538337845823804
1892;0;7;7;1;0;0.30794606820198567
1891;2;7;7;0;-1;-0.12420376195528782
1890;1;7;7;1;0;0.1252293555047821
1889;3;7;7;0;-1;-0.3156380200683273
1888;0;7;7;1;0;0.3182032990525947
1887;2;7;7;0;-1;-0.12830769038404988
1886;1;7;7;1;0;0.12933432041457493
1885;3;7;7;0;-1;-0.3259030245271468
1884;0;7;7;1;0;0.328470896678013
1883;2;7;7;0;-1;-0.13241576709396696
1882;1;7;7;1;0;0.13344343517753998
1881;3;7;7;0;-1;-0.33617840755093553
1880;0;7;7;1;0;0.33874887680243404
1879;2;7;7;0;-1;-0.1365279983778862
1878;1;7;7;1;0;0.1375567060897076
1877;3;7;7;0;-1;-0.3464641848877328
1876;0;7;7;1;0;0.3490372551818446
1875;2;7;7;0;-1;-0.14064439054139122
1874;1;7;7;1;0;0.1416741394598553
1873;3;7;7;0;-1;-0.3567603723174386
1872;0;7;7;1;0;0.35933604760413473
1871;2;7;7;0;-1;-0.14476494990283761
1870;1;7;7;1;0;0.14579574160952724
1869;3;7;7;0;-1;-0.3670669856519311
1868;0;7;7;1;0;0.3696452698891797
1867;2;7;7;0;-1;-0.14888968279337433
1866;1;7;7;1;0;0.14992151887308047
1865;3;7;7;0;-1;-0.37738404073510523
1864;0;7;7;1;0;0.37996493788890007
1863;2;7;7;0;-1;-0.15301859555698272
1862;1;7;7;1;0;0.15405147759771154
1861;3;7;7;0;-1;-0.3877115534430047
1860;0;7;7;1;0;0.3902950674873722
1859;2;7;7;0;-1;-0.15715169455051026
1858;1;7;7;1;0;0.15818562414348847
1857;3;7;7;0;-1;-0.3980495396838357
1856;0;7;7;1;0;0.4006356746008848
1855;2;7;7;0;-1;-0.1612889861437008
1854;1;7;7;1;0;0.1623239648833792
1853;3;7;7;0;-1;-0.40839801539812015
1852;0;7;7;1;0;0.4109867751780243
1851;2;7;7;0;-1;-0.16543047671922473
1850;1;7;7;1;0;0.1664665062032995
1849;3;7;7;0;-1;-0.4187569965587308
1848;0;7;7;1;0;0.42134838519978146
1847;2;7;7;0;-1;-0.16957617267271985
1846;1;7;7;1;0;0.17061325450212728
1845;3;7;7;0;-1;-0.42912649917098733
1844;0;7;7;1;0;0.43172052067959044
1843;2;7;7;0;-1;-0.17372608041281445
1842;1;7;7;1;0;0.1747642161917451
1841;3;7;7;0;-1;-0.4395065392727382
1840;0;7;7;1;0;0.4421031976634531
1839;2;7;7;0;-1;-0.17788020636116642
1838;1;7;7;1;0;0.17891939769707754
1837;3;7;7;0;-1;-0.4498971329344492
1836;0;7;7;1;0;0.4524964322299887
1835;2;7;7;0;-1;-0.1820385569524987
1834;1;7;7;1;0;0.18307880545611077
1833;3;7;7;0;-1;-0.46029829625927476
1832;0;7;7;1;0;0.46290024049055134
1831;2;7;7;0;-1;-0.18620113863462073
1830;1;7;7;1;0;0.18724244591994044
1829;3;7;7;0;-1;-0.47071004538314654
1828;0;7;7;1;0;0.4733146385892759
1827;2;7;7;0;-1;-0.19036795786847804
1826;1;7;7;1;0;0.1914103255527948
1825;3;7;7;0;-1;-0.4811323964748766
1824;0;7;7;1;0;0.4837396427031919
1823;2;7;7;0;-1;-0.1945390211281719
1822;1;7;7;1;0;0.19558245083207382
1821;3;7;7;0;-1;-0.4915653657361787
1820;0;7;7;1;0;0.4941752690422909
1819;2;7;7;0;-1;-0.19871433490100188
1818;1;7;7;1;0;0.19975882824837576
1817;3;6;6;0;-1;-0.5020089694018495
1816;0;8;8;1;0;0.5046215338496154
1815;2;7;7;0;-1;-0.20289390568749432
1814;1;7;7;1;0;0.203939464305547
1813;3;6;6;0;-1;-0.5124632237397648
1812;0;8;8;1;0;0.5150784534013297
1811;2;7;7;0;-1;-0.20707774000143964
1810;1;7;7;1;0;0.20812436552068903
1809;3;6;6;0;-1;-0.5229281450509973
1808;0;8;8;1;0;0.5255460440068376
1807;2;7;7;0;-1;-0.21126584436992069
1806;1;7;7;1;0;0.21231353842422251
1805;3;6;6;0;-1;-0.5334037496699189
1804;0;8;8;1;0;0.5360243220088421
1803;2;7;7;0;-1;-0.2154582253333519
1802;1;7;7;1;0;0.2165069895598979
1801;3;6;6;0;-1;-0.5438900539642688
1800;0;8;8;1;0;0.5465133037834171
1799;2;7;7;0;-1;-0.2196548894455148
1798;1;7;7;1;0;0.22070472548483977
1797;3;6;6;0;-1;-0.5543870743352208
1796;0;8;8;1;0;0.5570130057401315
1795;2;7;7;0;-1;-0.22385584327358465
1794;1;7;7;1;0;0.2249067527695825
1793;3;6;6;0;-1;-0.564894827217497
1792;0;8;8;1;0;0.5675234443221058
1791;2;7;7;0;-1;-0.22806109339817127
1790;1;7;7;1;0;0.229113077998095
1789;3;6;6;0;-1;-0.5754133290794528
1788;0;8;8;1;0;0.5780446360061084
1787;2;7;7;0;-1;-0.23227064641335282
1786;1;7;7;1;0;0.2333237077678305
1785;3;6;6;0;-1;-0.5859425964231377
1784;0;8;8;1;0;0.5885765973026267
1783;2;7;7;0;-1;-0.23648450892670425
1782;1;7;7;1;0;0.23753864868974617
1781;3;6;6;0;-1;-0.5964826457844126
1780;0;8;8;1;0;0.5991193447559908
1779;2;7;7;0;-1;-0.24070268755934165
1778;1;7;7;1;0;0.24175790738834202
1777;3;6;6;0;-1;-0.607033493733006
1776;0;8;8;1;0;0.6096728949444206
1775;2;7;7;0;-1;-0.24492518894594717
1774;1;7;7;1;0;0.2459814905017037
1773;3;6;6;0;-1;-0.6175951568726212
1772;0;8;8;1;0;0.6202372644801102
1771;2;7;7;0;-1;-0.24915201973481338
1770;1;7;7;1;0;0.2502094046815273
1769;3;6;6;0;-1;-0.6281676518410286
1768;0;8;8;1;0;0.6308124700093707
1767;2;7;7;0;-1;-0.2533831865878664
1766;1;7;7;1;0;0.2544416565931549
1765;3;6;6;0;-1;-0.6387509953101329
1764;0;8;8;1;0;0.6413985282126475
1763;2;7;7;0;-1;-0.2576186961807121
1762;1;7;7;1;0;0.25867825291561886
1761;3;6;6;0;-1;-0.6493452039860799
1760;0;8;8;1;0;0.6519954558046521
1759;2;7;7;0;-1;-0.2618585552026662
1758;1;7;7;1;0;0.26291920034166516
1757;3;6;6;0;-1;-0.6599502946093168
1756;0;8;8;1;0;0.6626032695344328
1755;2;7;7;0;-1;-0.2661027703567882
1754;1;7;7;1;0;0.2671645055777958
1753;3;6;6;0;-1;-0.6705662839547166
1752;0;8;8;1;0;0.6732219861854887
1751;2;7;7;0;-1;-0.27035134835992025
1750;1;7;7;1;0;0.27141417534430623
1749;3;6;6;0;-1;-0.6811931888316352
1748;0;8;8;1;0;0.6838516225758084
1747;2;7;7;0;-1;-0.27460429594272107
1746;1;7;7;1;0;0.2756682163753119
1745;3;6;6;0;-1;-0.691831026084035
1744;0;8;8;1;0;0.694492195557995
1743;2;7;7;0;-1;-0.2788616198496978
1742;1;7;7;1;0;0.27992663541878926
1741;3;6;6;0;-1;-0.7024798125905249
1740;0;8;8;1;0;0.7051437220193684
1739;2;7;7;0;-1;-0.28312332683925057
1738;1;7;7;1;0;0.28418943923661466
1737;3;6;6;0;-1;-0.7131395652644947
1736;0;8;8;1;0;0.7158062188820047
1735;2;7;7;0;-1;-0.28738942368369713
1734;1;7;7;1;0;0.2884566346045965
1733;3;6;6;0;-1;-0.7238103010541757
1732;0;8;8;1;0;0.7264797031028785
1731;2;7;7;0;-1;-0.29165991716931927
1730;1;7;7;1;0;0.2927282283125052
1729;3;6;6;0;-1;-0.7344920369427648
1728;0;8;8;1;0;0.7371641916739193
1727;2;7;7;0;-1;-0.29593481409638756
1726;1;7;7;1;0;0.29700422716412334
1725;3;6;6;0;-1;-0.7451847899484676
1724;0;8;8;1;0;0.7478597016221045
1723;2;7;7;0;-1;-0.3002141212792111
1722;1;7;7;1;0;0.30128463797727
1721;3;6;6;0;-1;-0.7558885771246153
1720;0;8;8;1;0;0.7585662500095793
1719;2;7;7;0;-1;-0.3044978455461642
1718;1;7;7;1;0;0.3055694675838385
1717;3;6;6;0;-1;-0.7666034155597714
1716;0;8;8;1;0;0.7692838539337075
1715;2;7;7;0;-1;-0.3087859937397184
1714;1;7;7;1;0;0.30985872282983884
1713;3;6;6;0;-1;-0.7773293223777813
1712;0;8;8;1;0;0.7800125305271735
1711;2;7;7;0;-1;-0.31307857271649553
1710;1;7;7;1;0;0.31415241057542787
1709;3;6;6;0;-1;-0.7880663147378968
1708;0;8;8;1;0;0.7907522969581109
1707;2;7;7;0;-1;-0.3173755893472876
1706;1;7;7;1;0;0.31845053769494847
1705;3;6;6;0;-1;-0.7988144098348684
1704;0;8;8;1;0;0.801503170430145
1703;2;7;7;0;-1;-0.32167705051710094
1702;1;7;7;1;0;0.32275311107697036
1701;3;6;6;0;-1;-0.8095736248990058
1700;0;8;8;1;0;0.8122651681824813
1699;2;7;7;0;-1;-0.32598296312519537
1698;1;7;7;1;0;0.32706013762431496
1697;3;6;6;0;-1;-0.8203439771962984
1696;0;8;8;1;0;0.8230383074900658
1695;2;7;7;0;-1;-0.33029333408511086
1694;1;7;7;1;0;0.33137162425410516
1693;3;6;6;0;-1;-0.831125484028501
1692;0;8;8;1;0;0.8338226056635953
1691;2;7;7;0;-1;-0.33460817032471724
1690;1;7;7;1;0;0.33568757789779724
1689;3;6;6;0;-1;-0.8419181627332257
1688;0;8;8;1;0;0.8446180800496634
1687;2;7;7;0;-1;-0.3389274787862462
1686;1;7;7;1;0;0.34000800550121646
1685;3;6;6;0;-1;-0.8527220306840348
1684;0;8;8;1;0;0.8554247480308277
1683;2;7;7;0;-1;-0.3432512664263232
1682;1;7;7;1;0;0.34433291402459254
1681;3;6;6;0;-1;-0.8635371052905221
1680;0;8;8;1;0;0.8662426270257235
1679;2;7;7;0;-1;-0.34757954021601023
1678;1;7;7;1;0;0.3486623104426094
1677;3;6;6;0;-1;-0.8743634039984336
1676;0;8;8;1;0;0.8770717344891246
1675;2;7;7;0;-1;-0.3519123071408483
1674;1;7;7;1;0;0.35299620174442303
1673;3;6;6;0;-1;-0.885200944289732
1672;0;8;8;1;0;0.8879120879120883
1671;2;7;7;0;-1;-0.35624957420088066
1670;1;7;7;1;0;0.35733459493371456
1669;3;6;6;0;-1;-0.8960497436827133
1668;0;8;8;1;0;0.8987637048219916
1667;2;7;7;0;-1;-0.3605913484107024
1666;1;7;7;1;0;0.3616774970287242
1665;3;6;6;0;-1;-0.9069098197320891
1664;0;8;8;1;0;0.9096266027826623
1663;2;7;7;0;-1;-0.36493763679949964
1662;1;7;7;1;0;0.3660249150622885
1661;3;6;6;0;-1;-0.9177811900290784
1660;0;8;8;1;0;0.9205007993944676
1659;2;7;7;0;-1;-0.36928844641107617
1658;1;7;7;1;0;0.37037685608187054
1657;3;6;6;0;-1;-0.9286638722015077
1656;0;8;8;1;0;0.9313863122944106
1655;2;7;7;0;-1;-0.37364378430389955
1654;1;7;7;1;0;0.37473332714961494
1653;3;6;6;0;-1;-0.9395578839139276
1652;0;8;8;1;0;0.9422831591562186
1651;2;7;7;0;-1;-0.37800365755114207
1650;1;7;7;1;0;0.379094335342371
1649;3;6;6;0;-1;-0.9504632428676558
1648;0;8;8;1;0;0.9531913576904358
1647;2;7;7;0;-1;-0.3823680732407091
1646;1;7;7;1;0;0.3834598877517337
1645;3;6;6;0;-1;-0.9613799668009335
1644;0;8;8;1;0;0.9641109256445297
1643;2;7;7;0;-1;-0.3867370384752835
1642;1;7;7;1;0;0.38782999148409125
1641;3;6;6;0;-1;-0.9723080734889749
1640;0;8;8;1;0;0.9750418808029728
1639;2;7;7;0;-1;-0.39111056037236835
1638;1;7;7;1;0;0.39220465366065405
1637;3;6;6;0;-1;-0.9832475807440773
1636;0;8;8;1;0;0.9859842409873778
1635;2;7;7;0;-1;-0.39548864606431877
1634;1;7;7;1;0;0.39658388141749334
1633;3;6;6;0;-1;-0.9941985064157457
1632;0;8;8;1;0;0.9969380240565364
1631;2;7;7;0;-1;-0.39987130269837934
1630;1;7;7;1;0;0.4009676819055894
1629;3;6;6;-1;-2;-1.0051608683907496
1628;0;8;8;2;1;1.0079032479065582
1627;2;7;7;0;-1;-0.4042585374367338
1626;1;7;7;1;0;0.40535606229085985
1625;3;6;6;-1;-2;-1.0161346845932293
1624;0;8;8;2;1;1.0188799304709555
1623;2;7;7;0;-1;-0.4086503574565299
1622;1;7;7;1;0;0.40974902975420413
1621;3;6;6;-1;-2;-1.0271199729848277
1620;0;8;8;2;1;1.029868089720729
1619;2;7;7;0;-1;-0.41304676994992917
1618;1;7;7;1;0;0.41414659149154254
1617;3;6;6;-1;-2;-1.0381167515647363
1616;0;8;8;2;1;1.0408677436645029
1615;2;7;7;0;-1;-0.41744778212414246
1614;1;7;7;1;0;0.41854875471385355
1613;3;6;6;-1;-2;-1.04912503836983
1612;0;8;8;2;1;1.0518789103485808
1611;2;7;7;0;-1;-0.42185340120146897
1610;1;7;7;1;0;0.4229555266472147
1609;3;6;6;-1;-2;-1.0601448514747567
1608;0;8;8;2;1;1.0629016078570608
1607;2;7;7;0;-1;-0.42626363441933357
1606;1;7;7;1;0;0.4273669145328398
1605;3;6;6;-1;-2;-1.0711762089920285
1604;0;8;8;2;1;1.0739358543119515
1603;2;7;7;0;-1;-0.43067848903033656
1602;1;7;7;1;0;0.4317829256271253
1601;3;6;6;-1;-2;-1.0822191290721364
1600;0;8;8;2;1;1.0849816678732367
1599;2;7;7;0;-1;-0.4350979723022732
1598;1;7;7;1;0;0.4362035672016784
1597;3;6;6;-1;-2;-1.0932736299036314
1596;0;8;8;2;1;1.0960390667390172
1595;2;7;7;0;-1;-0.4395220915182012
1594;1;7;7;1;0;0.440628846543369
1593;3;6;6;-1;-2;-1.1043397297132351
1592;0;8;8;2;1;1.10710806914555
1591;2;7;7;0;-1;-0.4439508539764567
1590;1;7;7;1;0;0.44505877095436475
1589;3;6;6;-1;-2;-1.1154174467659388
1588;0;8;8;2;1;1.1181886933674292
1587;2;7;7;0;-1;-0.44838426699070055
1586;1;7;7;1;0;0.44949334775216876
1585;3;6;6;-1;-2;-1.1265067993651066
1584;0;8;8;2;1;1.1292809577176186
1583;2;7;7;0;-1;-0.45282233788997317
1582;1;7;7;1;0;0.453932584269662
1581;3;6;6;-1;-2;-1.1376078058525678
1580;0;8;8;2;1;1.1403848805475825
1579;2;7;7;0;-1;-0.457265074018709
1578;1;7;7;1;0;0.45837648785514595
1577;3;6;6;-1;-2;-1.1487204846087273
1576;0;8;8;2;1;1.1515004802473854
1575;2;7;7;0;-1;-0.46171248273680554
1574;1;7;7;1;0;0.46282506587238004
1573;3;6;6;-1;-2;-1.1598448540526576
1572;0;8;8;2;1;1.1626277752457845
1571;2;7;7;0;-1;-0.4661645714196414
1570;1;7;7;1;0;0.4672783257006188
1569;3;6;6;-1;-2;-1.170980932642216
1568;0;8;8;2;1;1.1737667840103398
1567;2;7;7;0;-1;-0.470621347458124
1566;1;7;7;1;0;0.4717362747346687
1565;3;6;6;-1;-2;-1.1821287388741233
1564;0;8;8;2;1;1.1849175250475135
1563;2;7;7;0;-1;-0.4750828182587359
1562;1;7;7;1;0;0.4761989203849062
1561;3;6;6;-1;-2;-1.1932882912840874
1560;0;8;8;2;1;1.1960800169027763
1559;2;7;7;0;-1;-0.47954899124357375
1558;1;7;7;1;0;0.4806662700773341
1557;3;6;6;-1;-2;-1.2044596084468964
1556;0;8;8;2;1;1.2072542781607005
1555;2;7;7;0;-1;-0.48401987385038225
1554;1;7;7;1;0;0.48513833125362105
1553;3;6;6;-1;-2;-1.215642708976528
1552;0;8;8;2;1;1.2184403274450624
1551;2;7;7;0;-1;-0.4884954735326037
1550;1;7;7;1;0;0.48961511137114044
1549;3;6;6;-1;-2;-1.2268376115262392
1548;0;8;8;2;1;1.229638183418981
1547;2;7;7;0;-1;-0.49297579775941536
1546;1;7;7;1;0;0.4940966179030042
1545;3;6;6;-1;-2;-1.2380443347886825
1544;0;8;8;2;1;1.2408478647849641
1543;2;7;7;0;-1;-0.4974608540157721
1542;1;7;7;1;0;0.49858285833812666
1541;3;6;6;-1;-2;-1.2492628974960098
1540;0;8;8;2;1;1.2520693902850404
1539;2;6;6;0;-1;-0.5019506498024491
1538;1;8;8;1;0;0.5030738401812389
1537;3;6;6;-1;-2;-1.2604933184199645
1536;0;8;8;2;1;1.263302778700897
1535;2;6;6;0;-1;-0.5064451926360842
1534;1;8;8;1;0;0.5075695709529491
1533;3;6;6;-1;-2;-1.2717356163720162
1532;0;8;8;2;1;1.274548048853923
1531;2;6;6;0;-1;-0.5109444900492139
1530;1;8;8;1;0;0.5120700581897797
1529;3;6;6;-1;-2;-1.2829898102034178
1528;0;8;8;2;1;1.285805219605347
1527;2;6;6;0;-1;-0.5154485495903227
1526;1;8;8;1;0;0.5165753094442067
1525;3;6;6;-1;-2;-1.294255918805348
1524;0;8;8;2;1;1.2970743098563489
1523;2;6;6;0;-1;-0.5199573788238805
1522;1;8;8;1;0;0.5210853322847022
1521;3;6;6;-1;-2;-1.305533961109024
1520;0;8;8;2;1;1.3083553385481537
1519;2;6;6;0;-1;-0.5244709853303906
1518;1;8;8;1;0;0.5256001342957859
1517;3;6;6;-1;-2;-1.3168239560857593
1516;0;8;8;2;1;1.3196483246621398
1515;2;6;6;0;-1;-0.5289893767064253
1514;1;8;8;1;0;0.5301197230780534
1513;3;6;6;-1;-2;-1.3281259227471196
1512;0;8;8;2;1;1.3309532872199412
1511;2;6;6;0;-1;-0.533512560564672
1510;1;8;8;1;0;0.5346441062482263
1509;3;6;6;-1;-2;-1.3394398801450116
1508;0;8;8;2;1;1.342270245283565
1507;2;6;6;0;-1;-0.538040544533974
1506;1;8;8;1;0;0.5391732914391998
1505;3;6;6;-1;-2;-1.3507658473717896
1504;0;8;8;2;1;1.353599217955491
1503;2;6;6;0;-1;-0.5425733362593803
1502;1;8;8;1;0;0.5437072863000747
1501;3;6;6;-1;-2;-1.362103843560348
1500;0;8;8;2;1;1.364940224378774
1499;2;6;6;0;-1;-0.5471109434021812
1498;1;8;8;1;0;0.5482460984962039
1497;3;6;6;-1;-2;-1.373453887884267
1496;0;8;8;2;1;1.37629328373718
1495;2;6;6;0;-1;-0.5516533736399474
1494;1;8;8;1;0;0.5527897357092488
1493;3;6;6;-1;-2;-1.3848159995578797
1492;0;8;8;2;1;1.3876584152552418
1491;2;6;6;0;-1;-0.55620063466659
1490;1;8;8;1;0;0.5573382056371994
1489;3;6;6;-1;-2;-1.3961901978364004
1488;0;8;8;2;1;1.39903563819842
1487;2;6;6;0;-1;-0.5607527341923841
1486;1;8;8;1;0;0.5618915159944358
1485;3;6;6;-1;-2;-1.4075765020160347
1484;0;8;8;2;1;1.41042497187318
1483;2;6;6;0;-1;-0.5653096799440274
1482;1;8;8;1;0;0.5664496745117678
1481;3;6;6;-1;-2;-1.418974931434093
1480;0;8;8;2;1;1.4218264356271177
1479;2;6;6;0;-1;-0.5698714796646787
1478;1;8;8;1;0;0.571012688936472
1477;3;6;6;-1;-2;-1.4303855054690722
1476;0;8;8;2;1;1.4332400488490649
1475;2;6;6;0;-1;-0.5744381411139976
1474;1;8;8;1;0;0.5755805670323397
1473;3;6;6;-1;-2;-1.4418082435408088
1472;0;8;8;2;1;1.4446658309691927
1471;2;6;6;0;-1;-0.5790096720681905
1470;1;8;8;1;0;0.5801533165797306
1469;3;6;6;-1;-2;-1.4532431651105462
1468;0;8;8;2;1;1.4561038014591112
1467;2;6;6;0;-1;-0.5835860803200656
1466;1;8;8;1;0;0.5847309453755987
1465;3;6;6;-1;-2;-1.4646902896810765
1464;0;8;8;2;1;1.467553979832033
1463;2;6;6;0;-1;-0.5881673736790596
1462;1;8;8;1;0;0.5893134612335498
1461;3;6;6;-1;-2;-1.476149636796837
1460;0;8;8;2;1;1.4790163856428045
1459;2;6;6;0;-1;-0.592753559971289
1458;1;8;8;1;0;0.5939008719838821
1457;3;6;6;-1;-2;-1.4876212260440198
1456;0;8;8;2;1;1.4904910384880807
1455;2;6;6;0;-1;-0.5973446470396091
1454;1;8;8;1;0;0.5984931854736306
1453;3;6;6;-1;-2;-1.499105077050686
1452;0;9;9;2;1;1.501977958006428
1451;2;6;6;0;-1;-0.6019406427436298
1450;1;8;8;1;0;0.6030904095666116
1449;3;5;5;-1;-2;-1.510601209486893
1448;0;9;9;2;1;1.5134771638783953
1447;2;6;6;0;-1;-0.6065415549597848
1446;1;8;8;1;0;0.6076925521434706
1445;3;5;5;-1;-2;-1.5221096430647734
1444;0;9;9;2;1;1.5249886758266626
1443;2;6;6;0;-1;-0.6111473915813708
1442;1;8;8;1;0;0.6122996211017195
1441;3;5;5;-1;-2;-1.533630397538687
1440;0;9;9;2;1;1.536512513616163
1439;2;6;6;0;-1;-0.6157581605185847
1438;1;8;8;1;0;0.6169116243557919
1437;3;5;5;-1;-2;-1.5451634927053028
1436;0;9;9;2;1;1.5480486970541527
1435;2;6;6;0;-1;-0.6203738696985734
1434;1;8;8;1;0;0.6215285698370856
1433;3;5;5;-1;-2;-1.5567089484037275
1432;0;9;9;2;1;1.5595972459903678
1431;2;6;6;0;-1;-0.6249945270654855
1430;1;8;8;1;0;0.626150465493998
1429;3;5;5;-1;-2;-1.568266784515604
1428;0;9;9;2;1;1.5711581803171235
1427;2;6;6;0;-1;-0.6296201405805082
1426;1;8;8;1;0;0.630777319291985
1425;3;5;5;-1;-2;-1.579837020965261
1424;0;9;9;2;1;1.5827315199694034
1423;2;6;6;0;-1;-0.6342507182219173
1422;1;8;8;1;0;0.6354091392136034
1421;3;5;5;-1;-2;-1.5914196777197773
1420;0;9;9;2;1;1.594317284925019
1419;2;6;6;0;-1;-0.6388862679851215
1418;1;8;8;1;0;0.6400459332585502
1417;3;5;5;-1;-2;-1.6030147747891448
1416;0;9;9;2;1;1.6059154952046981
1415;2;6;6;0;-1;-0.6435267978827088
1414;1;8;8;1;0;0.6446877094437173
1413;3;5;5;-1;-2;-1.6146223322263467
1412;0;9;9;2;1;1.6175261708721855
