TR Period,TR Start Date,TR End Date,Country/Region,Financial Identifier Requests Received,Financial Identifiers Specified in Requests,Requests where Data Provided,Percentage of Requests where Data Provided
2018 H1,1/1/18,6/30/18,France,238,313,165,69%
2018 H1,1/1/18,6/30/18,Germany,1229,6389,1035,84%
2018 H1,1/1/18,6/30/18,Hong Kong,91,151,65,71%
2018 H1,1/1/18,6/30/18,Hungary,5,5,4,80%
2018 H1,1/1/18,6/30/18,India,34,3199,29,85%
2018 H1,1/1/18,6/30/18,Ireland,10,69,3,30%
2018 H1,1/1/18,6/30/18,Italy,129,215,82,64%
2018 H1,1/1/18,6/30/18,Japan,73,127,59,81%
2018 H1,1/1/18,6/30/18,Luxembourg,1,1,1,100%
2018 H1,1/1/18,6/30/18,Macau,3,6,2,67%
2018 H1,1/1/18,6/30/18,Mexico,1,2,0,0%
2018 H1,1/1/18,6/30/18,Moldova,2,2,2,100%
2018 H1,1/1/18,6/30/18,Netherlands,1,1,1,100%
2018 H1,1/1/18,6/30/18,New Zealand,12,42,7,58%
2018 H1,1/1/18,6/30/18,Norway,9,10,8,89%
2018 H1,1/1/18,6/30/18,Poland,10,11,10,100%
2018 H1,1/1/18,6/30/18,Portugal,8,9,6,75%
2018 H1,1/1/18,6/30/18,Romania,3,4,3,100%
2018 H1,1/1/18,6/30/18,Russia,5,5,3,60%
2018 H1,1/1/18,6/30/18,Singapore,35,386,32,91%
2018 H1,1/1/18,6/30/18,South Korea,15,15,12,80%
2018 H1,1/1/18,6/30/18,Spain,388,399,301,78%
2018 H1,1/1/18,6/30/18,Sweden,8,8,8,100%
2018 H1,1/1/18,6/30/18,Switzerland,139,1333,94,68%
2018 H1,1/1/18,6/30/18,Taiwan,185,823,163,88%
2018 H1,1/1/18,6/30/18,Turkey,85,88,64,75%
2018 H1,1/1/18,6/30/18,United Arab Emirates,2,2,2,100%
2018 H1,1/1/18,6/30/18,United Kingdom,101,939,80,79%
2018 H1,1/1/18,6/30/18,United States of America,918,14556,767,84%
